,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3
Open,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Melee Final Blows,839,17,,9,10,2,,20,99,2,7,9,,,38,18,2,,4,8,,2,17,,17,,38,8,,36,3,,3,7,,40,14,,,18,235,20,3,16,,2,,11,62,4,15,18
Objective Contest Time,47361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,9953,90,73,290,76,137,36,751,682,34,156,43,8,6,519,92,122,2,2,12,487,12,118,5,55,,445,34,,316,18,264,8,352,151,240,23,5,,534,1645,590,234,299,,2,153,210,243,97,96,185
Multikills,825,4,13,29,8,7,5,24,87,25,6,4,,,18,40,,,,4,14,,3,2,6,,49,2,,43,9,10,2,37,10,5,2,,,49,131,46,16,10,,,,8,25,26,34,7
of Match on Fire,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,169,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,
Defensive Assists,14312,913,,,2876,,857,,,,,,,,,,,,22,,,,1719,184,773,,,1910,19,1917,,,,,,,,,,358,,,,,,,,,,,460,2304
Offensive Assists,14598,834,,,289,,222,,,,,,,,,,,5,3,,122,,604,,428,,892,853,,,504,,19,,86,269,57,,,,7272,,,,,,,,,,234,1904
Healing Done,10938332,374843,20150,,1501305,43484,258559,120,17213,73976,263,4547,8467,,456,11655,,11151,22166,20481,15,79647,916970,122169,685080,194,312679,1096326,7345,1219896,,,1627,95017,,6469,,,,294850,947962,22632,,,,,,,2368,1172339,,825760
Assists,8368,125,9,109,17,5,154,13,463,36,22,22,,,3,278,18,12,19,54,10,95,1680,168,23,,338,296,20,556,12,5,19,,,10,26,2,,36,1148,675,7,,,,3,2,145,1142,59,530
Cards,1844,33,10,44,113,19,24,74,133,,5,11,,,42,,5,,,,35,,,6,41,,55,70,,61,28,20,,31,50,36,3,2,,89,410,93,57,15,,,3,37,54,,49,85
Scoped Accuracy - Best in Game,,100,,80,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,
Self Healing,,29966,,,191849,42906,33626,,,73934,,,7387,,,,,2412,,20133,,,,12047,189473,124,304565,149123,,323251,,,,94754,,400340,,,,192874,,,,95557,,,,,,,,26232
Self Healing - Most in Game,,961,,,2555,2610,,,,4885,,,,,,,,748,,2096,,,,1541,3123,96,2745,2168,,4099,,,,3161,,5339,,,,2166,,,,1154,,,,,,,,663
Enemies Slept,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,4279,,,107542,,,,,,,,,,,,,,,,,3378,,,,,,55973,,,41679,,,,,,,,,,,,,,,,,,,,,41125
Damage Amplified - Most in Game,,610,,,2488,,,,,,,,,,,,,,,,,546,,,,,,2109,,,3420,,,,,,,,,,,,,,,,,,,,,2219
Healing Amplified,,7498,,,18506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72008,,
Healing Amplified - Most in Game,,417,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,,
Scoped Accuracy,,54,,40,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,
Healing Amplified - Avg per 10 Min,,55.71,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,
Self Healing - Avg per 10 Min,,223,,,1129,899,876,,,3381,,,767,,,,,1018,,1578,,,,810,1671,733,1104,1052,,1964,,,,933,,3557,,,,1049,,,,882,,,,,,,,176
Damage Amplified - Avg per 10 Min,,31.8,,,633,,,,,,,,,,,,,,,,,232,,,,,,395,,,960,,,,,,,,,,,,,,,,,,,,,276
