,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Damage,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games Won,1203,154,7,32,14,11,15,19,25,9,0,50,19,15,33,9,16,31,2,0,7,9,99,18,23,2,7,14,14,4,14,53,11,15,7,2,47,,99,4,20,7,6,93,10,10,14,21,1,53,12,46
Games Lost,995,118,3,35,17,5,18,46,25,8,2,41,20,24,27,7,8,18,4,4,4,19,67,16,25,5,8,16,4,5,9,21,8,7,2,4,16,4,125,7,16,5,6,73,5,7,12,12,4,27,6,20
Hero Wins,1203,154,7,32,14,11,15,19,25,9,0,50,19,15,33,9,16,31,2,0,7,9,99,18,23,2,7,14,14,4,14,53,11,15,7,2,47,,99,4,20,7,6,93,10,10,14,21,1,53,12,46
Objective Time,69635,9031,400,1731,534,248,1303,1904,2838,1015,208,1736,995,860,1824,832,425,1327,152,161,74,793,5663,880,2032,439,596,404,471,192,1168,776,1088,637,316,393,3805,67,5671,207,578,245,288,5060,525,457,576,2004,306,2784,1057,2558
Eliminations,28707,2452,182,854,297,283,285,694,907,303,26,1384,601,442,921,333,313,632,83,33,140,270,1798,222,580,102,207,53,252,118,428,1172,368,291,131,71,1012,55,3179,143,573,189,138,2488,214,246,334,487,76,1162,273,910
Environmental Kills,45,,,,,,2,,3,,,,,,,2,,,3,,,,,,5,,,,,,7,10,,,2,,2,,,,,,,,,2,,,,,,
Hero Damage Done,12115047,795810,72922,455332,102471,127856,100477,380517,363649,167430,11077,602675,316384,257856,353182,138890,161368,235396,25525,22604,79366,78048,660834,64533,187499,53688,97496,10635,88286,47850,215662,544560,167004,89232,55141,40492,594297,37765,1576039,72389,178313,77086,65660,873028,86350,102835,134021,192756,28679,448230,136663,339190
Final Blows,12581,753,78,424,108,152,104,362,423,130,11,738,285,202,437,149,170,248,38,12,79,63,668,64,184,40,79,23,88,39,198,664,169,150,86,40,524,23,1434,65,258,55,51,1153,129,131,192,191,34,402,104,377
Deaths,10300,934,91,281,118,82,179,406,192,70,14,479,215,179,378,72,122,176,30,25,58,124,711,105,280,36,80,139,75,41,94,384,84,88,42,23,190,30,1262,71,172,62,42,977,101,89,121,139,27,272,63,275
Damage Done,12115047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,8393,870,53,206,91,67,64,236,225,99,13,286,163,146,224,84,83,197,19,10,28,80,611,76,155,36,65,12,72,28,170,246,112,104,22,28,287,8,992,49,168,55,46,676,58,55,73,114,26,416,109,280
Time Spent on Fire,158865,18926,899,4646,2217,1384,1793,3594,5259,2440,147,6455,2834,2252,3398,1492,1762,3578,392,131,683,1795,12602,1414,2778,563,1040,2403,1631,459,2288,5853,1830,1242,841,453,8074,307,14378,519,2348,969,735,9209,1057,1063,1634,2748,379,6929,1348,5690
Melee Final Blows,598,28,2,4,4,2,,,51,9,3,26,2,,37,11,5,6,4,,,,30,3,30,3,,3,10,,9,,3,,,10,36,,4,,8,,,171,,7,3,20,7,8,4,28
Objective Contest Time,36763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,2198,88,19,85,19,14,10,65,55,18,,151,50,40,83,12,41,39,5,3,18,6,108,7,19,4,8,2,11,9,18,157,26,23,12,7,73,4,227,7,56,4,14,274,38,34,76,27,12,46,13,60
Multikills,388,8,10,6,4,3,2,2,59,9,,24,16,3,11,12,,7,2,,3,5,6,,7,4,,,3,5,8,14,8,5,2,,15,,27,3,8,5,3,37,,2,,6,,22,3,3
of Match on Fire,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,177,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,
Defensive Assists,7593,2192,,,235,,445,,,,,,,,,,,,35,,,,2312,311,322,24,,270,314,86,,,,,,,,,,14,,,,,,,,,,,118,914
Offensive Assists,3967,1443,,,21,,133,,,,,,,,,,,87,6,,19,,608,,303,38,69,260,,,101,,63,,12,23,108,,,,182,,,,,,,,,,18,473
