,all-heroes,reaper,tracer,mercy,hanzo,torbjorn,reinhardt,pharah,winston,widowmaker,bastion,symmetra,zenyatta,genji,roadhog,cassidy,junkrat,zarya,soldier-76,lucio,dva,mei,sombra,doomfist,ana,orisa,brigitte,moira,wrecking-ball,sojourn,ashe,echo,baptiste,kiriko,junker-queen,sigma,ramattra,mauga,freja,venture,hazard,juno,vendetta,domina,sierra,emre,anran
Tank,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,
Card,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Death Blossom Kills,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Blossom Kills - Most in Game,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Healing,,71930,16582,2213,,,,,,,,,906,,205859,,,,9805,3908,,16656,,,2890,,2918,49289,,,,,2780,,34261,,,16771,,,,,,49168,,4084,
Self Healing - Most in Game,,3120,1607,843,,,,,,,632,,598,,8768,,,,978,964,,2032,,,584,,,2548,,,,,946,,3821,,,3169,,,,,,2725,,,
Self Healing - Avg per 10 Min,,1631,743,795,,,,,,,,,197,,5634,,,,775,1670,,1534,,,250,,912,1644,,,,,744,,2482,,,1882,,,,,,1910,,694,
Death Blossom Kills - Avg per 10 Min,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,23,19,2,21,9,20,17,14,14,16,6,6,9,15,17,7,18,10,5,18,9,23,17,6,19,7,14,16,12,13,17,5,14,13,24,16,18,,11,10,8,9,27,13,10,4.0
All Damage Done - Most in Life,,10394,6846,285,7960,3301,9409,7004,6801,5043,10034,3127,3944,4007,8363,7005,3365,9161,5893,1812,9652,14742,6417,5814,1569,12443,2104,5095,5393,5373,4947,9068,1633,4667,8913,13642,11738,9599,847,5356,7755,1821,3336,11085,3508,4687,2684.0
Weapon Accuracy - Best in Game,,57,45,75,43,39,,72,100,77,53,52,43,44,51,75,43,74,53,50,37,72,49,48,50,94,,,67,45,100,56,35,100,55,88,57,49,42,65,35,53,,72,33,42,44.0
Critical Hits - Most in Game,,562,273,5,24,36,,,,27,41,,17,52,380,29,,,46,6,662,,111,140,,250,,,134,93,24,108,31,22,288,,154,391,,,,,33,21,113,31,10.0
Critical Hits - Most in Life,,352,93,3,14,13,,,,16,23,,7,24,195,16,,,33,4,517,,87,74,,96,,,103,58,15,54,16,17,160,,118,202,,,,,,7,40,11,3.0
